ratio	r	rstd	p-value	pstd
1.0	0.03379570812117047	0	1.2745217216703347e-51	0
0.9	0.031092801083752168	0	5.79368340186082e-44	0
0.8	0.03153599734070314	0	3.531649491399298e-45	0
0.7000000000000001	0.034165231836486835	0	1.018785541229327e-52	0
0.6000000000000001	0.040465354698675175	0	3.0648062555611685e-73	0
0.5000000000000001	0.048161714588280106	0	5.397142915808112e-103	0
0.40000000000000013	0.06398720175361199	0	2.0769415051002144e-180	0
0.30000000000000016	0.06393623809309518	0	3.982924851716493e-180	0
0.20000000000000015	0.07642776319809766	0	1.0414326995002464e-256	0
0.10000000000000014	0.08270306387244335	0	2.3867397783944447e-300	0
1.3877787807814457e-16	0.09788904807416916	0	0.0	0
