ratio	r	rstd	p-value	pstd
1.0	0.07885431265752393	0	3.2776575951944237e-273	0
0.9	0.08843327461599171	0	0.0	0
0.8	0.10330540829839421	0	0.0	0
0.7000000000000001	0.13329248729599427	0	0.0	0
0.6000000000000001	0.18085389133223273	0	0.0	0
0.5000000000000001	0.20449364141622522	0	0.0	0
0.40000000000000013	0.24893046323318432	0	0.0	0
0.30000000000000016	0.29445910321724994	0	0.0	0
0.20000000000000015	0.3042392606261771	0	0.0	0
0.10000000000000014	0.3380741330316771	0	0.0	0
1.3877787807814457e-16	0.3428819151188826	0	0.0	0
