p	linkRatio	samplenum
33.5	0.40625	32
27.3	0.35384615384615387	65
27.4	0.3924050632911392	79
52.8	0.5	10
46.4	0.625	16
28.7	0.45614035087719296	57
24.2	0.2909090909090909	110
40.5	0.6153846153846154	26
28.9	0.39285714285714285	56
37.1	0.2777777777777778	18
39.6	0.15384615384615385	26
26.3	0.379746835443038	79
76.3	0.5	2
34.7	0.3548387096774194	31
23.3	0.3900709219858156	141
71.8	1.0	2
44.0	0.4375	16
33.3	0.5365853658536586	41
35.1	0.5	36
32.0	0.46938775510204084	49
31.6	0.4186046511627907	43
36.1	0.3333333333333333	45
22.4	0.313953488372093	172
28.2	0.3684210526315789	57
65.5	0.3333333333333333	3
31.0	0.40816326530612246	49
64.7	1.0	2
26.4	0.38202247191011235	89
76.5	1.0	3
35.7	0.5333333333333333	30
40.7	0.25925925925925924	27
65.0	0.5	2
64.2	1.0	2
59.2	0.6666666666666666	6
34.9	0.34375	32
31.9	0.4090909090909091	44
58.5	0.25	4
46.6	0.42857142857142855	14
47.1	0.5	12
34.3	0.6363636363636364	33
43.2	0.35	20
33.7	0.4	35
90.7	1.0	1
89.6	0.5	2
107.2	1.0	1
44.6	0.21428571428571427	14
29.4	0.3384615384615385	65
41.4	0.38461538461538464	13
77.9	0.6666666666666666	3
37.3	0.25925925925925924	27
25.3	0.3114754098360656	122
31.4	0.44	50
69.5	0.5	4
54.3	0.6666666666666666	6
80.3	1.0	1
60.2	0.875	8
28.0	0.5068493150684932	73
68.0	1.0	3
70.5	0.6666666666666666	3
30.3	0.3958333333333333	48
44.2	0.7272727272727273	11
39.9	0.5789473684210527	19
37.8	0.38095238095238093	21
30.9	0.4	65
38.3	0.5	24
44.4	0.5454545454545454	11
47.6	0.4444444444444444	9
35.2	0.55	20
29.7	0.3148148148148148	54
45.5	0.5	14
37.4	0.21739130434782608	23
45.7	0.5384615384615384	13
46.2	0.625	8
29.3	0.4090909090909091	66
29.5	0.37209302325581395	43
38.8	0.4166666666666667	24
50.0	0.7142857142857143	7
26.8	0.34523809523809523	84
60.9	0.5	6
51.1	0.5454545454545454	11
25.6	0.3888888888888889	108
62.2	0.5	4
47.3	0.5	8
41.2	0.55	20
48.0	0.5555555555555556	9
52.4	0.7777777777777778	9
49.2	0.7777777777777778	9
38.0	0.4666666666666667	30
42.0	0.5	14
41.6	0.4782608695652174	23
48.7	0.6666666666666666	6
27.2	0.28205128205128205	78
69.6	0.5	2
88.9	0.5	2
40.4	0.5161290322580645	31
49.8	0.5555555555555556	9
52.3	0.3333333333333333	6
44.8	0.5	12
47.5	0.5	6
33.9	0.34285714285714286	35
44.5	0.46153846153846156	13
34.4	0.34285714285714286	35
53.9	0.42857142857142855	7
107.1	1.0	1
61.9	0.6	5
50.1	0.5	12
41.1	0.45	20
48.1	0.5	10
70.7	0.6666666666666666	3
68.4	0.5	4
51.0	0.6	5
38.1	0.4722222222222222	36
42.4	0.3	10
73.2	0.6666666666666666	3
47.4	0.6153846153846154	13
51.4	0.4	10
89.8	0.0	2
44.3	0.5333333333333333	15
63.6	1.0	4
71.6	1.0	1
82.0	1.0	2
53.8	0.8333333333333334	6
49.7	0.5	6
50.6	0.5833333333333334	12
38.5	0.5263157894736842	19
53.2	0.6666666666666666	3
76.6	1.0	2
59.4	0.8	5
26.6	0.2894736842105263	76
76.8	0.6666666666666666	3
82.3	0.0	1
48.6	0.7777777777777778	9
59.9	0.0	2
49.1	0.6666666666666666	3
43.9	0.4444444444444444	9
38.7	0.3888888888888889	18
36.6	0.46875	32
70.4	0.0	1
47.7	0.45454545454545453	11
38.6	0.5555555555555556	18
58.9	0.3333333333333333	3
39.1	0.4444444444444444	18
72.6	1.0	1
36.5	0.5	26
43.1	0.6363636363636364	11
59.1	0.8333333333333334	6
63.5	0.6666666666666666	3
42.5	0.21052631578947367	19
108.6	1.0	1
57.3	0.6	5
35.9	0.37142857142857144	35
31.7	0.32608695652173914	46
86.3	0.6666666666666666	3
43.6	0.3333333333333333	12
58.7	0.75	4
56.7	0.8333333333333334	6
36.4	0.41379310344827586	29
79.3	0.0	1
43.5	0.5	18
49.0	0.7777777777777778	9
39.3	0.7857142857142857	14
43.4	0.4	15
68.3	1.0	1
26.1	0.3888888888888889	108
109.1	1.0	2
32.5	0.46	50
56.9	0.625	8
56.1	0.0	4
60.7	0.75	4
53.6	0.8333333333333334	6
37.5	0.43478260869565216	23
42.9	0.4	20
53.3	0.4166666666666667	12
54.4	0.6666666666666666	3
32.9	0.391304347826087	46
38.4	0.6	25
61.4	0.5	6
52.9	0.7142857142857143	7
55.9	1.0	3
29.8	0.3170731707317073	41
60.5	0.6666666666666666	3
48.5	0.5833333333333334	12
66.3	1.0	3
61.0	0.75	4
89.0	1.0	1
45.1	0.3	10
81.3	1.0	2
37.6	0.35	20
51.5	0.5	8
31.1	0.4489795918367347	49
55.2	0.5	8
64.8	1.0	4
64.4	1.0	4
91.1	1.0	1
52.2	0.7142857142857143	7
35.4	0.2916666666666667	24
47.9	0.9090909090909091	11
39.4	0.42857142857142855	21
43.3	0.4166666666666667	12
46.7	0.6666666666666666	6
52.0	0.6153846153846154	13
56.4	0.2857142857142857	7
65.7	0.5	2
70.3	0.5	2
40.6	0.4375	16
95.4	1.0	1
57.2	0.75	4
53.4	0.6666666666666666	3
66.9	0.5	2
56.6	0.75	8
50.4	0.7142857142857143	7
65.1	0.6666666666666666	3
30.5	0.3111111111111111	45
37.9	0.5454545454545454	22
56.3	0.5	4
50.5	0.5	10
77.6	1.0	2
66.1	1.0	1
36.2	0.5555555555555556	18
83.4	0.5	2
44.1	0.5833333333333334	12
43.0	0.2727272727272727	11
37.0	0.5172413793103449	29
78.2	1.0	2
41.7	0.42105263157894735	19
40.0	0.47619047619047616	21
54.1	0.25	8
40.8	0.4375	16
45.4	0.42857142857142855	14
74.2	0.3333333333333333	3
39.0	0.375	16
60.1	0.6666666666666666	3
35.5	0.5294117647058824	34
64.3	0.6	5
69.3	1.0	2
45.3	0.3333333333333333	12
47.8	0.6666666666666666	6
44.7	0.5	10
48.2	0.4444444444444444	9
66.7	1.0	3
47.2	0.6666666666666666	6
63.4	0.75	4
46.9	0.6666666666666666	9
41.3	0.3	20
61.7	0.5	2
42.6	0.5	14
61.2	0.6666666666666666	3
73.3	1.0	2
65.8	0.4	5
66.4	0.6666666666666666	3
55.8	0.6	5
46.5	0.7777777777777778	9
44.9	0.3	10
50.3	0.5	10
63.0	0.25	4
54.8	0.6666666666666666	3
57.1	0.6666666666666666	3
59.3	0.5	4
105.5	1.0	2
61.6	0.5	4
58.4	1.0	2
73.4	0.5	2
65.9	0.6	5
53.0	0.6153846153846154	13
49.3	0.7777777777777778	9
51.9	0.8	5
59.5	1.0	2
42.7	0.7777777777777778	9
46.8	0.5	8
67.7	1.0	1
51.7	0.6	5
74.5	1.0	2
59.7	0.8333333333333334	6
61.3	0.5	4
64.0	1.0	2
86.4	1.0	2
70.0	1.0	1
81.9	1.0	3
71.2	1.0	1
155.8	0.0	1
78.6	1.0	1
57.5	0.75	4
50.9	0.7777777777777778	9
87.2	1.0	2
63.2	0.6666666666666666	3
54.5	0.6666666666666666	9
75.1	1.0	2
81.4	1.0	2
75.0	0.5	2
77.2	1.0	2
169.8	0.0	1
88.2	1.0	1
48.3	0.3333333333333333	6
54.9	0.5	4
83.6	1.0	2
85.6	1.0	1
42.2	0.46153846153846156	13
76.2	1.0	2
58.2	0.6666666666666666	6
70.1	0.0	2
63.8	0.5	2
134.1	1.0	1
64.9	0.75	4
55.4	1.0	3
55.0	0.5	4
71.1	1.0	1
62.5	0.5	4
85.2	0.5	2
57.7	0.6666666666666666	3
53.5	0.6	5
49.4	0.5	4
82.5	0.3333333333333333	3
60.6	0.75	4
90.1	1.0	1
54.7	0.6666666666666666	3
46.0	0.4	5
62.6	1.0	3
80.6	0.5	2
57.0	1.0	2
69.8	1.0	1
56.5	0.0	3
51.8	0.5	6
62.0	0.0	1
83.8	1.0	2
53.7	1.0	3
62.7	1.0	2
67.6	1.0	2
78.7	0.5	2
52.6	0.4444444444444444	9
63.1	0.0	1
55.6	0.25	4
58.1	0.3333333333333333	3
77.8	1.0	1
59.8	0.6	5
78.4	1.0	3
48.9	0.8571428571428571	7
68.6	1.0	2
60.0	0.5	4
64.5	1.0	1
54.0	0.3333333333333333	6
62.8	0.5	2
53.1	0.3333333333333333	9
78.0	1.0	2
67.3	0.5	2
94.2	0.5	2
65.3	0.5	2
57.8	0.25	8
75.5	0.0	1
91.0	0.0	2
63.7	0.6	5
68.5	0.6666666666666666	3
91.5	1.0	1
67.8	0.5	4
49.6	0.42857142857142855	7
59.6	1.0	1
72.1	0.0	1
68.9	0.5	2
56.2	0.25	4
87.9	1.0	1
86.7	1.0	1
81.8	1.0	1
76.9	1.0	3
66.2	1.0	2
62.3	1.0	1
65.4	0.4	5
87.4	1.0	1
55.5	0.0	1
65.6	1.0	4
75.3	1.0	2
63.9	0.75	4
86.0	1.0	1
85.8	1.0	1
56.8	0.6666666666666666	3
70.6	1.0	2
75.2	1.0	2
85.4	1.0	1
88.3	0.0	1
185.3	0.0	1
62.4	1.0	3
101.3	0.0	1
106.1	1.0	1
72.3	1.0	2
106.4	1.0	1
84.9	1.0	1
124.1	1.0	1
85.5	0.0	1
72.8	1.0	1
129.4	1.0	1
88.8	1.0	1
68.7	1.0	1
101.9	1.0	1
90.6	0.0	1
84.5	1.0	1
77.3	1.0	1
65.2	0.5	2
92.1	1.0	2
120.5	1.0	1
86.6	0.0	1
99.3	1.0	2
112.9	1.0	2
157.5	1.0	1
71.9	1.0	1
96.6	1.0	1
90.4	0.0	1
108.4	1.0	1
135.6	1.0	1
84.6	1.0	1
72.0	1.0	5
128.7	1.0	1
83.0	1.0	1
69.0	1.0	1
113.5	1.0	1
73.9	0.0	1
101.0	1.0	1
99.1	1.0	1
142.8	1.0	1
111.8	1.0	1
88.4	1.0	1
66.6	1.0	1
206.0	1.0	1
115.5	0.0	1
145.3	0.0	1
103.9	1.0	1
147.5	1.0	1
82.9	1.0	1
184.8	1.0	1
116.6	1.0	2
77.0	0.0	2
149.2	1.0	1
78.8	1.0	1
67.5	0.0	1
133.1	1.0	1
87.5	1.0	1
80.0	1.0	1
148.1	1.0	1
208.9	1.0	1
72.9	1.0	1
129.8	1.0	1
76.0	1.0	1
80.5	1.0	2
88.1	1.0	1
116.2	1.0	2
95.8	1.0	1
54.6	1.0	1
114.8	1.0	2
183.4	1.0	1
120.7	1.0	1
87.8	1.0	1
88.5	1.0	1
77.1	1.0	1
83.5	1.0	1
69.2	1.0	2
72.7	1.0	2
103.4	1.0	1
89.1	0.6666666666666666	3
120.9	1.0	1
81.5	1.0	2
94.1	1.0	1
71.7	0.0	1
90.3	1.0	3
99.5	1.0	1
80.8	1.0	1
139.1	1.0	1
95.7	1.0	1
140.1	1.0	1
84.0	0.0	1
155.2	1.0	1
123.2	1.0	1
97.7	1.0	1
191.2	1.0	1
94.4	0.0	1
111.3	1.0	1
82.8	0.0	1
157.1	1.0	1
90.9	1.0	2
109.2	1.0	1
82.7	1.0	1
107.8	1.0	1
96.5	1.0	1
86.8	1.0	1
130.7	1.0	1
62.9	0.5	2
114.5	1.0	1
163.2	1.0	1
237.9	1.0	1
142.5	1.0	1
73.6	1.0	1
73.1	1.0	3
145.6	1.0	1
74.1	0.0	1
112.6	1.0	1
69.4	1.0	1
96.3	0.0	1
60.4	1.0	1
151.5	1.0	1
85.7	0.0	1
146.3	1.0	1
122.9	1.0	1
100.2	1.0	1
108.1	1.0	1
125.4	0.5	2
127.3	1.0	1
79.1	1.0	1
93.4	1.0	1
67.9	1.0	1
61.8	1.0	2
89.9	1.0	1
98.0	1.0	1
68.1	1.0	1
71.4	0.0	2
74.3	1.0	1
90.5	0.0	1
135.7	1.0	1
101.7	1.0	1
74.8	1.0	1
121.9	1.0	1
120.2	1.0	1
75.7	1.0	1
105.1	0.0	1
119.2	1.0	1
137.0	1.0	1
78.5	1.0	1
72.4	0.0	1
114.7	1.0	1
102.5	1.0	1
101.2	1.0	1
58.3	0.0	1
76.7	1.0	1
70.9	1.0	1
88.7	1.0	1
84.4	1.0	1
114.3	1.0	1
76.1	0.0	1
93.3	1.0	1
87.6	1.0	1
99.9	1.0	1
77.4	1.0	1
94.0	1.0	1
67.4	0.0	1
80.9	1.0	2
63.3	0.0	1
100.9	1.0	1
67.0	1.0	1
100.8	1.0	1
82.4	1.0	1
107.9	1.0	1
83.7	0.0	1
73.5	1.0	1
102.6	0.0	1
